ucdp_country_id,iso3,country_name,evidence_note
2,USA,"United States of America","Derived from staged GED 23.1 raw country column: United States of America."
20,CAN,"Canada","Derived from staged GED 23.1 raw country column: Canada."
41,HTI,"Haiti","Derived from staged GED 23.1 raw country column: Haiti."
51,JAM,"Jamaica","Derived from staged GED 23.1 raw country column: Jamaica."
52,TTO,"Trinidad and Tobago","Derived from staged GED 23.1 raw country column: Trinidad and Tobago."
70,MEX,"Mexico","Derived from staged GED 23.1 raw country column: Mexico."
90,GTM,"Guatemala","Derived from staged GED 23.1 raw country column: Guatemala."
91,HND,"Honduras","Derived from staged GED 23.1 raw country column: Honduras."
92,SLV,"El Salvador","Derived from staged GED 23.1 raw country column: El Salvador."
93,NIC,"Nicaragua","Derived from staged GED 23.1 raw country column: Nicaragua."
95,PAN,"Panama","Derived from staged GED 23.1 raw country column: Panama."
100,COL,"Colombia","Derived from staged GED 23.1 raw country column: Colombia."
101,VEN,"Venezuela","Derived from staged GED 23.1 raw country column: Venezuela."
110,GUY,"Guyana","Derived from staged GED 23.1 raw country column: Guyana."
130,ECU,"Ecuador","Derived from staged GED 23.1 raw country column: Ecuador."
135,PER,"Peru","Derived from staged GED 23.1 raw country column: Peru."
140,BRA,"Brazil","Derived from staged GED 23.1 raw country column: Brazil."
145,BOL,"Bolivia","Derived from staged GED 23.1 raw country column: Bolivia."
150,PRY,"Paraguay","Derived from staged GED 23.1 raw country column: Paraguay."
160,ARG,"Argentina","Derived from staged GED 23.1 raw country column: Argentina."
200,GBR,"United Kingdom","Derived from staged GED 23.1 raw country column: United Kingdom."
210,NLD,"Netherlands","Derived from staged GED 23.1 raw country column: Netherlands."
211,BEL,"Belgium","Derived from staged GED 23.1 raw country column: Belgium."
220,FRA,"France","Derived from staged GED 23.1 raw country column: France."
230,ESP,"Spain","Derived from staged GED 23.1 raw country column: Spain."
260,DEU,"Germany","Derived from staged GED 23.1 raw country column: Germany."
290,POL,"Poland","Derived from staged GED 23.1 raw country column: Poland."
305,AUT,"Austria","Derived from staged GED 23.1 raw country column: Austria."
325,ITA,"Italy","Derived from staged GED 23.1 raw country column: Italy."
338,MLT,"Malta","Derived from staged GED 23.1 raw country column: Malta."
339,ALB,"Albania","Derived from staged GED 23.1 raw country column: Albania."
343,MKD,"Macedonia, FYR","Derived from staged GED 23.1 raw country column: Macedonia, FYR."
344,HRV,"Croatia","Derived from staged GED 23.1 raw country column: Croatia."
346,BIH,"Bosnia-Herzegovina","Derived from staged GED 23.1 raw country column: Bosnia-Herzegovina."
359,MDA,"Moldova","Derived from staged GED 23.1 raw country column: Moldova."
360,ROU,"Romania","Derived from staged GED 23.1 raw country column: Romania."
369,UKR,"Ukraine","Derived from staged GED 23.1 raw country column: Ukraine."
371,ARM,"Armenia","Derived from staged GED 23.1 raw country column: Armenia."
372,GEO,"Georgia","Derived from staged GED 23.1 raw country column: Georgia."
373,AZE,"Azerbaijan","Derived from staged GED 23.1 raw country column: Azerbaijan."
380,SWE,"Sweden","Derived from staged GED 23.1 raw country column: Sweden."
404,GNB,"Guinea-Bissau","Derived from staged GED 23.1 raw country column: Guinea-Bissau."
420,GMB,"Gambia","Derived from staged GED 23.1 raw country column: Gambia."
432,MLI,"Mali","Derived from staged GED 23.1 raw country column: Mali."
433,SEN,"Senegal","Derived from staged GED 23.1 raw country column: Senegal."
434,BEN,"Benin","Derived from staged GED 23.1 raw country column: Benin."
435,MRT,"Mauritania","Derived from staged GED 23.1 raw country column: Mauritania."
436,NER,"Niger","Derived from staged GED 23.1 raw country column: Niger."
437,CIV,"Ivory Coast","Derived from staged GED 23.1 raw country column: Ivory Coast."
438,GIN,"Guinea","Derived from staged GED 23.1 raw country column: Guinea."
439,BFA,"Burkina Faso","Derived from staged GED 23.1 raw country column: Burkina Faso."
450,LBR,"Liberia","Derived from staged GED 23.1 raw country column: Liberia."
451,SLE,"Sierra Leone","Derived from staged GED 23.1 raw country column: Sierra Leone."
452,GHA,"Ghana","Derived from staged GED 23.1 raw country column: Ghana."
461,TGO,"Togo","Derived from staged GED 23.1 raw country column: Togo."
471,CMR,"Cameroon","Derived from staged GED 23.1 raw country column: Cameroon."
475,NGA,"Nigeria","Derived from staged GED 23.1 raw country column: Nigeria."
482,CAF,"Central African Republic","Derived from staged GED 23.1 raw country column: Central African Republic."
483,TCD,"Chad","Derived from staged GED 23.1 raw country column: Chad."
484,COG,"Congo","Derived from staged GED 23.1 raw country column: Congo."
490,COD,"DR Congo (Zaire)","Derived from staged GED 23.1 raw country column: DR Congo (Zaire)."
500,UGA,"Uganda","Derived from staged GED 23.1 raw country column: Uganda."
501,KEN,"Kenya","Derived from staged GED 23.1 raw country column: Kenya."
510,TZA,"Tanzania","Derived from staged GED 23.1 raw country column: Tanzania."
516,BDI,"Burundi","Derived from staged GED 23.1 raw country column: Burundi."
517,RWA,"Rwanda","Derived from staged GED 23.1 raw country column: Rwanda."
520,SOM,"Somalia","Derived from staged GED 23.1 raw country column: Somalia."
522,DJI,"Djibouti","Derived from staged GED 23.1 raw country column: Djibouti."
530,ETH,"Ethiopia","Derived from staged GED 23.1 raw country column: Ethiopia."
531,ERI,"Eritrea","Derived from staged GED 23.1 raw country column: Eritrea."
540,AGO,"Angola","Derived from staged GED 23.1 raw country column: Angola."
541,MOZ,"Mozambique","Derived from staged GED 23.1 raw country column: Mozambique."
551,ZMB,"Zambia","Derived from staged GED 23.1 raw country column: Zambia."
552,ZWE,"Zimbabwe (Rhodesia)","Derived from staged GED 23.1 raw country column: Zimbabwe (Rhodesia)."
560,ZAF,"South Africa","Derived from staged GED 23.1 raw country column: South Africa."
565,NAM,"Namibia","Derived from staged GED 23.1 raw country column: Namibia."
570,LSO,"Lesotho","Derived from staged GED 23.1 raw country column: Lesotho."
571,BWA,"Botswana","Derived from staged GED 23.1 raw country column: Botswana."
572,SWZ,"Kingdom of eSwatini (Swaziland)","Derived from staged GED 23.1 raw country column: Kingdom of eSwatini (Swaziland)."
580,MDG,"Madagascar (Malagasy)","Derived from staged GED 23.1 raw country column: Madagascar (Malagasy)."
581,COM,"Comoros","Derived from staged GED 23.1 raw country column: Comoros."
600,MAR,"Morocco","Derived from staged GED 23.1 raw country column: Morocco."
615,DZA,"Algeria","Derived from staged GED 23.1 raw country column: Algeria."
616,TUN,"Tunisia","Derived from staged GED 23.1 raw country column: Tunisia."
620,LBY,"Libya","Derived from staged GED 23.1 raw country column: Libya."
625,SDN,"Sudan","Derived from staged GED 23.1 raw country column: Sudan."
626,SSD,"South Sudan","Derived from staged GED 23.1 raw country column: South Sudan."
630,IRN,"Iran","Derived from staged GED 23.1 raw country column: Iran."
640,TUR,"Turkey","Derived from staged GED 23.1 raw country column: Turkey."
645,IRQ,"Iraq","Derived from staged GED 23.1 raw country column: Iraq."
651,EGY,"Egypt","Derived from staged GED 23.1 raw country column: Egypt."
652,SYR,"Syria","Derived from staged GED 23.1 raw country column: Syria."
660,LBN,"Lebanon","Derived from staged GED 23.1 raw country column: Lebanon."
663,JOR,"Jordan","Derived from staged GED 23.1 raw country column: Jordan."
666,ISR,"Israel","Derived from staged GED 23.1 raw country column: Israel."
670,SAU,"Saudi Arabia","Derived from staged GED 23.1 raw country column: Saudi Arabia."
678,YEM,"Yemen (North Yemen)","Derived from staged GED 23.1 raw country column: Yemen (North Yemen)."
690,KWT,"Kuwait","Derived from staged GED 23.1 raw country column: Kuwait."
692,BHR,"Bahrain","Derived from staged GED 23.1 raw country column: Bahrain."
694,QAT,"Qatar","Derived from staged GED 23.1 raw country column: Qatar."
696,ARE,"United Arab Emirates","Derived from staged GED 23.1 raw country column: United Arab Emirates."
700,AFG,"Afghanistan","Derived from staged GED 23.1 raw country column: Afghanistan."
702,TJK,"Tajikistan","Derived from staged GED 23.1 raw country column: Tajikistan."
703,KGZ,"Kyrgyzstan","Derived from staged GED 23.1 raw country column: Kyrgyzstan."
704,UZB,"Uzbekistan","Derived from staged GED 23.1 raw country column: Uzbekistan."
710,CHN,"China","Derived from staged GED 23.1 raw country column: China."
750,IND,"India","Derived from staged GED 23.1 raw country column: India."
760,BTN,"Bhutan","Derived from staged GED 23.1 raw country column: Bhutan."
770,PAK,"Pakistan","Derived from staged GED 23.1 raw country column: Pakistan."
771,BGD,"Bangladesh","Derived from staged GED 23.1 raw country column: Bangladesh."
775,MMR,"Myanmar (Burma)","Derived from staged GED 23.1 raw country column: Myanmar (Burma)."
780,LKA,"Sri Lanka","Derived from staged GED 23.1 raw country column: Sri Lanka."
790,NPL,"Nepal","Derived from staged GED 23.1 raw country column: Nepal."
800,THA,"Thailand","Derived from staged GED 23.1 raw country column: Thailand."
811,KHM,"Cambodia (Kampuchea)","Derived from staged GED 23.1 raw country column: Cambodia (Kampuchea)."
812,LAO,"Laos","Derived from staged GED 23.1 raw country column: Laos."
820,MYS,"Malaysia","Derived from staged GED 23.1 raw country column: Malaysia."
840,PHL,"Philippines","Derived from staged GED 23.1 raw country column: Philippines."
850,IDN,"Indonesia","Derived from staged GED 23.1 raw country column: Indonesia."
900,AUS,"Australia","Derived from staged GED 23.1 raw country column: Australia."
910,PNG,"Papua New Guinea","Derived from staged GED 23.1 raw country column: Papua New Guinea."
940,SLB,"Solomon Islands","Derived from staged GED 23.1 raw country column: Solomon Islands."
