source_slug,raw_folder,registered,identified,vetted,raw_available,adapter_works,normalized,persisted,country_matched,concept_mapped,researcher_routed,validated,available,observation_count,country_count,year_min,year_max,indicators,observation_families,raw_files,processed_manifest,blocking_issue
archigos,archigos,True,True,True,True,True,True,True,True,False,False,False,False,20454,97,1840,2015,archigos_entry_type|archigos_exit_type|archigos_gender|archigos_leader_name|archigos_tenure_end_date|archigos_tenure_start_date,leader_identity_spell,Archigos_4.1_stata14.dta,data/processed/archigos/manifest-archigos-0e85767daa9b.json,observation families do not map to research concepts
bti,bti,True,True,True,True,True,True,True,False,True,False,False,False,18644,0,2003,2025,bti_democracy_status|bti_governance_index|bti_governance_performance|bti_q11_economic_performance|bti_q1_stateness|bti_q2_political_participation|bti_q3_rule_of_law|bti_q4_democratic_institutions|bti_q5_political_social_integration|bti_q6_socioeconomic_development|bti_q7_market_competition|bti_status_index,economic_wellbeing_country_year|effectiveness_country_year|political_freedom_country_year,BTI2026_Codebook.pdf|BTI_2006-2026_Scores.xlsx,data/processed/bti/manifest-bti-711869a1cf66.json,observations lack matched country identity
cirights,cirights,True,True,True,True,True,True,True,False,True,False,False,False,49214,0,1981,2022,cirights_civpol|cirights_disap|cirights_kill|cirights_physint|cirights_polpris|cirights_repression|cirights_tort,domestic_violence_human_rights_country_year,cirights-codebook-v2.8.27.23.pdf|cirights_v3.12.10.24.dta_.zip|cirights_v3.12.10.24.xlsx,data/processed/cirights/manifest-cirights-e2c87c0c8e2e.json,observations lack matched country identity
client_existing,client_existing,False,True,False,True,False,False,False,False,False,False,False,False,0,0,,,,,"2007 democracy_index_EIU.pdf|Corruption Index Methodology 2023.zip|Democ. index report 2022 by EIU.pdf|Democracy index+Report Universitat Wurzburg 2022.pdf|Democracy report Universitat Wurzburg_2022.pdf|ICC defendent list Dec. 2024.xlsx|LATEST BARR'S POLITICAL MATRIX 041725 (1).xlsx|Paige LAST full rulers lists 1901, 1935, 1955, 1995 5.5.25.xlsx|Paige selected nations lists Aug. 5, 25.xlsx|Political matrix - sources (2022-2023) RYO - documentation (1).docx|Political matrix w. CURRENT LEADERS most complete.xlsx|Rulers matrix descriptions for Lior.docx|WORST&BEST LEADERS Ryo 10.02.23.xlsx",,clean adapter registration or valid local metadata is missing
cow_mid,cow_mid,False,True,False,False,False,False,False,False,False,False,False,False,0,0,,,,,,,clean adapter registration or valid local metadata is missing
cshapes,cshapes,False,True,False,True,False,False,False,False,False,False,False,False,0,0,,,,,CShapes-2.0.csv,,clean adapter registration or valid local metadata is missing
ctbto_treaty_status,ctbto_treaty_status,True,True,False,False,False,False,False,False,False,False,False,False,0,0,,,,,,,clean adapter registration or valid local metadata is missing
eiu_democracy_index,eiu_democracy_index,True,True,True,True,True,True,True,False,False,False,False,False,9607,0,2017,2024,eiu_democracy_index_civil_liberties|eiu_democracy_index_electoral_process_pluralism|eiu_democracy_index_functioning_government|eiu_democracy_index_overall_score|eiu_democracy_index_political_culture|eiu_democracy_index_political_participation|eiu_democracy_index_rank|eiu_democracy_index_rank_change|eiu_democracy_index_regime_type,political_freedom_country_year,democracy-index-2006.pdf|democracy-index-2008.pdf|democracy-index-2010.pdf|democracy-index-2011.pdf|democracy-index-2012.pdf|democracy-index-2013.pdf|democracy-index-2014.pdf|democracy-index-2015.pdf|democracy-index-2016.pdf|democracy-index-2017.pdf|democracy-index-2018.pdf|democracy-index-2019.pdf|democracy-index-2021.pdf|democracy-index-2022.pdf|democracy-index-2023.pdf|democracy-index-2024.pdf,data/processed/eiu_democracy_index/manifest-eiu_democracy_index-b20ca8294e27.json,observations lack matched country identity
fas,fas,True,True,True,True,True,True,True,False,True,False,False,False,45,0,2014,2014,fas_military_stockpile|fas_operational_nonstrategic|fas_operational_strategic|fas_reserve_nondeployed|fas_total_inventory,nuclear_country_year,fas_status.html|nuclear-warhead-stockpiles-lines.csv,data/processed/fas/manifest-fas-74e595f09339.json,observations lack matched country identity
freedom_house,freedom_house,True,True,True,True,True,True,True,False,True,False,False,False,19789,0,1973,2026,freedom_house_civil_liberties|freedom_house_political_rights|freedom_house_status,political_freedom_country_year,Aggregate_Category_and_Subcategory_Scores_FIW_2003-2026.xlsx|All_data_FIW_2013-2024.xlsx|All_data_FIW_2013-2026.xlsx|Country_and_Territory_Ratings_and_Statuses_FIW_1973-2024.xlsx|Country_and_Territory_Ratings_and_Statuses_FIW_1973-2026.xlsx,data/processed/freedom_house/manifest-freedom_house-bcf4fc5a9d49.json,observations lack matched country identity
iaea_safeguards,iaea_safeguards,True,True,True,False,False,False,False,False,False,False,False,False,0,0,,,,,,,no non-metadata raw files are staged
icc_cases,icc_cases,False,True,False,True,False,False,False,False,False,False,False,False,0,0,,,,,icc-cases-page-0.html|icc-cases-page-1.html|icc-cases-page-2.html|icc-cases-page-3.html|icc-defendants-page-0.html|icc-defendants-page-1.html|icc-defendants-page-2.html|icc-defendants-page-3.html|icc-defendants-page-4.html|icc-defendants-page-5.html|icc-defendants-page-6.html|icc-defendants-page-7.html,,clean adapter registration or valid local metadata is missing
internet_research_adjudication,internet_research_adjudication,False,False,False,False,True,True,True,True,False,False,False,False,220,32,1903,2025,internet_research_de_facto_principal_ruler|internet_research_principal_ruler,leader_identity_country_year|leader_identity_spell,,,source is neither registered nor locally staged
leader_survival,leader_survival,False,True,False,False,False,False,False,False,False,False,False,False,0,0,,,,,,,clean adapter registration or valid local metadata is missing
